Month,Prov,Immig,Char,Sex,Age,No degree,Highschoolgraduate,Postsecondary,University,Above bachelor degree
20-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Female,  25-64,8,29,40,80,29
20-Jul,Ontario,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,4,9,10,11,5
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,164,137,161,184,69
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  15-24,36,22,4,4,-
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,128,115,157,179,69
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  25-64,37,39,46,71,23
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,112,95,129,136,54
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,285,244,216,259,70
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  15-24,28,11,3,6,0
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,257,233,213,253,70
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  25-64,72,107,97,162,45
20-Jul,Ontario,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,218,165,147,131,34
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,21,14,10,9,8
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  15-24,60,37,17,29,-
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,12,10,9,8,8
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  25-64,15,11,10,9,8
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,8,8,9,9,9
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,26,21,15,15,16
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  15-24,56,34,50,26,-
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,17,19,14,15,16
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  25-64,19,21,14,15,16
20-Jul,Ontario,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,19,16,10,12,15
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,15 Years +,27,56,59,71,73
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  15-24,12,38,65,56,100
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  25 Years +,31,59,59,72,73
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  25-64,51,75,77,82,84
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Male,  55 Years +,22,43,39,49,52
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,15 Years +,14,32,51,59,62
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  15-24,16,37,36,57,0
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  25 Years +,14,32,51,59,62
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  25-64,31,45,65,66,68
20-Jul,Ontario,  Total Landed immigrants,Employment rate,  Female,  55 Years +,7,21,37,37,42
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,15 Years +,6,18,16,42,20
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  15-24,0,5,3,2,0
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  25 Years +,4,13,13,40,20
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  25-64,4,13,13,39,19
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,0,2,4,3
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,15 Years +,2,10,21,46,17
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  15-24,2,2,4,5,0
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  25 Years +,0,8,18,42,16
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  25-64,0,8,18,42,16
20-Jul,Ontario,  Non-landed immigrants,  Labour force,  Female,  55 Years +,-,2,4,3,0
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,15 Years +,5,14,12,39,19
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  15-24,0,2,2,2,0
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  25 Years +,4,12,10,37,18
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  25-64,4,11,10,36,18
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,0,2,4,3
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,15 Years +,2,8,19,41,17
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  15-24,2,0,3,4,0
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  25 Years +,0,7,16,37,16
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  25-64,0,7,16,37,16
20-Jul,Ontario,  Non-landed immigrants,    Employment,  Female,  55 Years +,-,2,3,3,0
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,5,14,11,36,17
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,2,0,2,0
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,4,11,10,35,17
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  25-64,4,11,10,34,16
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,0,2,4,3
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,0,5,13,36,15
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  15-24,0,0,2,3,0
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,0,4,10,33,14
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  25-64,0,4,10,33,14
20-Jul,Ontario,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,-,0,2,2,0
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,0,0,0,3,2
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  15-24,0,-,0,0,-
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,0,0,0,3,2
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  25-64,0,0,0,2,2
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,-,-,-,0,0
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,0,4,6,5,2
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  15-24,0,0,0,0,-
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,-,3,6,4,2
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  25-64,-,3,6,4,2
20-Jul,Ontario,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,-,0,0,0,-
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,15 Years +,0,4,3,3,0
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  15-24,-,3,0,-,-
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,0,3,3,0
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,0,3,3,0
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,-,-,0,-,-
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,15 Years +,0,2,2,5,0
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  15-24,0,0,0,0,-
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,-,0,2,5,0
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  25-64,-,0,2,5,0
20-Jul,Ontario,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,-,-,0,0,0
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Male,15 Years +,7,11,5,14,3
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  15-24,2,6,0,0,-
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  25 Years +,5,5,4,13,3
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  25-64,3,4,4,9,2
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Male,  55 Years +,2,2,0,5,2
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Female,15 Years +,12,14,14,26,7
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Female,  15-24,7,7,0,2,-
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Female,  25 Years +,5,7,12,24,7
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Female,  25-64,3,6,9,21,7
20-Jul,Ontario,  Non-landed immigrants,  Not in labour force,  Female,  55 Years +,2,2,4,5,0
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Male,15 Years +,0,24,22,6,0
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Male,  15-24,-,59,0,-,-
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Male,  25 Years +,0,0,21,7,0
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Male,  25-64,0,0,21,7,0
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Male,  55 Years +,-,-,0,-,-
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Female,15 Years +,0,20,11,11,0
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Female,  15-24,0,0,0,0,-
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Female,  25 Years +,-,0,9,11,0
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Female,  25-64,-,0,9,11,0
20-Jul,Ontario,  Non-landed immigrants,Unemployment rate,  Female,  55 Years +,-,-,0,0,0
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Male,15 Years +,43,48,61,70,81
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Male,  15-24,0,20,69,65,0
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Male,  25 Years +,44,67,59,70,80
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Male,  25-64,56,71,61,75,84
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Male,  55 Years +,0,0,52,45,62
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Female,15 Years +,15,34,54,57,69
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Female,  15-24,17,0,58,58,0
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Female,  25 Years +,0,46,53,57,68
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Female,  25-64,0,49,60,59,68
20-Jul,Ontario,  Non-landed immigrants,Employment rate,  Female,  55 Years +,-,50,43,33,0
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Male,15 Years +,183,470,681,1288,497
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Male,  15-24,46,67,40,25,0
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Male,  25 Years +,137,403,641,1263,496
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Male,  25-64,117,379,597,1189,458
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Male,  55 Years +,59,129,180,288,126
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Female,15 Years +,140,329,679,1173,401
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Female,  15-24,38,43,31,31,2
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Female,  25 Years +,102,286,649,1141,398
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Female,  25-64,95,266,620,1104,385
20-Aug,Canada,  Total Landed immigrants,  Labour force,  Female,  55 Years +,43,98,168,190,62
20-Aug,Canada,  Total Landed immigrants,    Employment,  Male,15 Years +,149,405,615,1180,462
20-Aug,Canada,  Total Landed immigrants,    Employment,  Male,  15-24,27,44,30,19,0
20-Aug,Canada,  Total Landed immigrants,    Employment,  Male,  25 Years +,122,361,585,1161,461
20-Aug,Canada,  Total Landed immigrants,    Employment,  Male,  25-64,103,339,546,1092,426
20-Aug,Canada,  Total Landed immigrants,    Employment,  Male,  55 Years +,52,118,162,260,115
20-Aug,Canada,  Total Landed immigrants,    Employment,  Female,15 Years +,106,266,586,1021,348
20-Aug,Canada,  Total Landed immigrants,    Employment,  Female,  15-24,20,31,23,22,2
20-Aug,Canada,  Total Landed immigrants,    Employment,  Female,  25 Years +,86,235,563,999,346
20-Aug,Canada,  Total Landed immigrants,    Employment,  Female,  25-64,79,216,538,966,335
20-Aug,Canada,  Total Landed immigrants,    Employment,  Female,  55 Years +,35,84,153,170,56
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Male,15 Years +,119,349,556,1082,426
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Male,  15-24,13,26,23,17,0
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25 Years +,106,323,534,1066,425
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Male,  25-64,92,305,507,1015,400
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Male,  55 Years +,42,95,136,221,98
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Female,15 Years +,72,194,461,852,298
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Female,  15-24,5,19,14,14,2
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25 Years +,67,175,447,838,296
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Female,  25-64,62,166,434,820,291
20-Aug,Canada,  Total Landed immigrants,       Full-time employment,  Female,  55 Years +,26,58,111,133,42
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Male,15 Years +,31,56,59,98,37
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Male,  15-24,14,18,7,3,-
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25 Years +,16,38,52,95,37
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Male,  25-64,11,34,40,76,26
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Male,  55 Years +,10,23,26,39,17
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Female,15 Years +,34,72,125,169,50
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Female,  15-24,15,13,9,8,-
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25 Years +,19,60,116,161,50
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Female,  25-64,17,50,104,146,44
20-Aug,Canada,  Total Landed immigrants,       Part-time employment,  Female,  55 Years +,9,26,43,37,14
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Male,15 Years +,33,65,67,108,35
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Male,  15-24,19,23,11,6,-
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Male,  25 Years +,15,42,56,102,35
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Male,  25-64,15,41,51,97,32
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Male,  55 Years +,7,11,18,28,11
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Female,15 Years +,34,63,93,151,53
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Female,  15-24,18,12,7,9,0
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Female,  25 Years +,16,51,86,142,52
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Female,  25-64,16,50,82,138,50
20-Aug,Canada,  Total Landed immigrants,    Unemployment,  Female,  55 Years +,8,15,15,20,7
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Male,15 Years +,278,229,284,321,117
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Male,  15-24,54,25,7,4,-
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25 Years +,224,204,277,317,117
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Male,  25-64,57,61,83,109,35
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Male,  55 Years +,195,170,231,250,93
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Female,15 Years +,462,412,391,462,124
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Female,  15-24,49,16,6,9,-
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25 Years +,412,396,385,453,124
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Female,  25-64,108,176,171,292,83
20-Aug,Canada,  Total Landed immigrants,  Not in labour force,  Female,  55 Years +,349,287,274,228,56
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Male,15 Years +,18,14,10,8,7
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Male,  15-24,41,35,26,24,-
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25 Years +,11,10,9,8,7
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Male,  25-64,12,11,9,8,7
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Male,  55 Years +,12,9,10,10,9
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Female,15 Years +,24,19,14,13,13
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Female,  15-24,47,28,24,28,0
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25 Years +,16,18,13,13,13
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Female,  25-64,17,19,13,13,13
20-Aug,Canada,  Total Landed immigrants,Unemployment rate,  Female,  55 Years +,18,15,9,11,10
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Male,15 Years +,32,58,64,73,75
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Male,  15-24,27,47,63,65,0
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Male,  25 Years +,34,60,64,74,75
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Male,  25-64,59,77,80,84,86
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Male,  55 Years +,20,39,39,48,53
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Female,15 Years +,18,36,55,63,66
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Female,  15-24,23,53,64,56,65
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Female,  25 Years +,17,34,55,63,66
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Female,  25-64,39,49,68,69,72
20-Aug,Canada,  Total Landed immigrants,Employment rate,  Female,  55 Years +,9,22,35,41,47
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Male,15 Years +,17,50,61,122,52
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Male,  15-24,4,20,15,12,5
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Male,  25 Years +,13,30,46,110,47
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Male,  25-64,13,29,45,106,46
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Male,  55 Years +,0,4,6,9,4
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Female,15 Years +,7,29,43,113,45
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Female,  15-24,4,12,7,9,2
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Female,  25 Years +,3,17,36,103,43
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Female,  25-64,3,17,36,103,43
20-Aug,Canada,  Non-landed immigrants,  Labour force,  Female,  55 Years +,0,4,7,9,4
20-Aug,Canada,  Non-landed immigrants,    Employment,  Male,15 Years +,15,39,52,111,46
20-Aug,Canada,  Non-landed immigrants,    Employment,  Male,  15-24,3,13,12,10,3
20-Aug,Canada,  Non-landed immigrants,    Employment,  Male,  25 Years +,12,26,40,101,43
20-Aug,Canada,  Non-landed immigrants,    Employment,  Male,  25-64,12,25,39,98,42
20-Aug,Canada,  Non-landed immigrants,    Employment,  Male,  55 Years +,0,4,5,9,4
20-Aug,Canada,  Non-landed immigrants,    Employment,  Female,15 Years +,4,20,36,94,38
20-Aug,Canada,  Non-landed immigrants,    Employment,  Female,  15-24,2,5,5,7,0
20-Aug,Canada,  Non-landed immigrants,    Employment,  Female,  25 Years +,2,14,31,87,36
20-Aug,Canada,  Non-landed immigrants,    Employment,  Female,  25-64,2,14,31,87,36
20-Aug,Canada,  Non-landed immigrants,    Employment,  Female,  55 Years +,0,4,6,8,3
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Male,15 Years +,12,32,47,96,38
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Male,  15-24,0,7,11,7,3
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25 Years +,11,24,36,88,35
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Male,  25-64,11,23,36,85,35
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Male,  55 Years +,0,3,5,7,3
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Female,15 Years +,3,12,26,79,32
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Female,  15-24,0,0,4,5,0
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25 Years +,2,11,21,74,31
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Female,  25-64,2,11,21,74,31
20-Aug,Canada,  Non-landed immigrants,       Full-time employment,  Female,  55 Years +,-,3,4,6,2
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Male,15 Years +,3,8,5,15,8
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Male,  15-24,2,6,0,2,0
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25 Years +,0,2,4,13,7
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Male,  25-64,0,2,4,12,7
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Male,  55 Years +,0,0,0,2,0
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Female,15 Years +,0,7,10,15,6
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Female,  15-24,0,4,0,2,0
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25 Years +,0,3,10,13,5
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Female,  25-64,0,3,9,13,5
20-Aug,Canada,  Non-landed immigrants,       Part-time employment,  Female,  55 Years +,0,0,2,0,0
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Male,15 Years +,2,11,9,11,6
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Male,  15-24,0,6,3,3,2
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Male,  25 Years +,0,4,6,9,4
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Male,  25-64,0,4,6,9,4
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Male,  55 Years +,0,-,0,0,-
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Female,15 Years +,3,9,7,18,8
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Female,  15-24,2,6,2,2,0
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Female,  25 Years +,0,3,5,16,7
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Female,  25-64,0,3,5,16,7
20-Aug,Canada,  Non-landed immigrants,    Unemployment,  Female,  55 Years +,-,0,0,0,0
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Male,15 Years +,17,19,17,32,14
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Male,  15-24,9,9,0,2,-
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25 Years +,8,10,16,30,14
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Male,  25-64,4,8,12,22,11
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Male,  55 Years +,5,5,8,9,5
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Female,15 Years +,29,26,35,53,15
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Female,  15-24,13,10,4,7,0
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25 Years +,16,17,31,46,14
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Female,  25-64,10,14,24,41,13
20-Aug,Canada,  Non-landed immigrants,  Not in labour force,  Female,  55 Years +,9,7,11,11,2
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Male,15 Years +,12,21,15,9,12
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Male,  15-24,0,32,18,21,39
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25 Years +,0,15,14,8,9
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Male,  25-64,0,15,14,8,9
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Male,  55 Years +,0,-,0,0,-
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Female,15 Years +,39,32,17,16,17
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Female,  15-24,44,54,27,26,0
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25 Years +,0,18,15,15,16
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Female,  25-64,0,18,15,16,16
20-Aug,Canada,  Non-landed immigrants,Unemployment rate,  Female,  55 Years +,-,0,0,0,0
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Male,15 Years +,44,57,67,72,69
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Male,  15-24,25,48,79,66,61
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Male,  25 Years +,55,64,64,73,70
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Male,  25-64,69,68,69,76,74
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Male,  55 Years +,0,46,36,48,44
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Female,15 Years +,11,36,46,57,63
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Female,  15-24,13,25,46,43,0
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Female,  25 Years +,10,42,46,59,64
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Female,  25-64,14,46,51,61,65
20-Aug,Canada,  Non-landed immigrants,Employment rate,  Female,  55 Years +,0,32,34,39,50
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Male,15 Years +,88,263,307,674,267
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Male,  15-24,18,36,15,14,0
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Male,  25 Years +,70,227,293,659,266
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Male,  25-64,56,212,268,616,243
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Male,  55 Years +,36,82,96,157,73
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Female,15 Years +,73,173,330,593,199
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Female,  15-24,18,17,9,21,2
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Female,  25 Years +,54,156,321,572,198
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Female,  25-64,49,144,305,551,187
20-Aug,Ontario,  Total Landed immigrants,  Labour force,  Female,  55 Years +,23,54,104,98,34
20-Aug,Ontario,  Total Landed immigrants,    Employment,  Male,15 Years +,72,227,283,618,246
20-Aug,Ontario,  Total Landed immigrants,    Employment,  Male,  15-24,9,22,12,10,0
20-Aug,Ontario,  Total Landed immigrants,    Employment,  Male,  25 Years +,63,205,270,608,245
20-Aug,Ontario,  Total Landed immigrants,    Employment,  Male,  25-64,49,190,248,566,224
20-Aug,Ontario,  Total Landed immigrants,    Employment,  Male,  55 Years +,33,76,88,142,66
